Year,Male_Population,Mean_Income_M,Mean_Income_2017_M,Female_Population,Mean_Income_F,Mean_Income_2017_F
2017,114849,58927,58927,116618,37537,37537
2016,113158,57147,58376,115371,36157,36935
2015,112322,54757,56656,114440,34453,35648
2014,110372,53196,55136,112599,32588,33776
2013,109937,52529,55366,112066,32453,34206
2013,108706,50779,53522,109956,31968,33695
2012,107534,49915,53391,109383,31368,33552
2011,106228,48948,53465,108332,30553,33373
2010,105191,47077,53042,107220,29745,33514
2009,105025,46800,53600,106229,29723,34042
2008,105428,47751,54499,106403,29087,33198
2007,104789,47137,55865,105230,29249,34665
2006,103909,46677,56889,104582,28416,34633
2005,102986,44850,56434,104245,26261,33044
2004,101772,42831,55719,103384,25027,32558
2003,100769,41483,55423,102713,24630,32907
2002,99788,41057,56100,102487,23619,32273
2001,98873,40859,56709,101941,23602,32758
2000,98504,40254,57460,101704,22428,32015
1999,97063,38384,56650,101036,21312,31454
1998,94948,36315,54738,98694,20462,30843
1997,94168,34794,53155,97447,19511,29807
1996,93439,32800,51192,96558,18369,28669
1995,92066,31454,50399,96007,17265,27664
1994,91254,30367,49829,95147,16478,27039
1993,90194,28939,48478,94417,15761,26402
1992,90175,26810,46044,93517,14922,25627
1991,88653,26369,46413,92569,14449,25432
1990,88220,26041,47503,92245,13913,25379
1989,87454,25746,49281,91399,13226,25316
1988,86584,24054,48055,90593,12311,24595
1987,85713,22798,47191,89661,11538,23883
1986,84471,21822,46724,87822,10741,22998
1985,83631,20652,44993,86531,10173,22163
1984,82183,19438,43802,85555,9584,21597
1983,80909,18109,42506,83830,8780,20608
1982,79722,17381,42539,82505,8195,20057
1981,79688,16515,42861,82139,7440,19309
1980,78661,15340,43570,80826,6772,19234
1979,78129,14311,45199,79921,6026,19032
1978,75609,13113,45343,71864,5599,19361
1977,74015,12063,44573,65407,5291,19550
1976,72775,11165,43858,63170,4875,19150
1975,71234,10429,43324,60807,4513,18748
1974,70863,9861,44332,59642,4161,18706
1973,69387,9289,45936,57029,3799,18787
1972,67474,8635,45375,54487,3577,18796
1971,66486,7892,42714,52603,3333,18039
1970,65008,7537,42580,51647,3138,17728
1969,63882,7202,42692,50224,2945,17457
1968,62501,6626,41029,48544,2732,16917
1967,61444,6054,38957,46843,2483,15978
